Macrotrends Data Download,,
,,
U.S. Death Rate 1950-2020,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Deaths per 1000 People, Annual % Change
12/31/1950,9.649,
12/31/1951,9.619,-0.31
12/31/1952,9.589,-0.31
12/31/1953,9.559,-0.31
12/31/1954,9.529,-0.31
12/31/1955,9.499,-0.31
12/31/1956,9.469,-0.32
12/31/1957,9.439,-0.32
12/31/1958,9.409,-0.32
12/31/1959,9.416,0.07
12/31/1960,9.423,0.07
12/31/1961,9.429,0.06
12/31/1962,9.436,0.07
12/31/1963,9.443,0.07
12/31/1964,9.473,0.32
12/31/1965,9.503,0.32
12/31/1966,9.534,0.33
12/31/1967,9.564,0.31
12/31/1968,9.594,0.31
12/31/1969,9.555,-0.41
12/31/1970,9.516,-0.41
12/31/1971,9.476,-0.42
12/31/1972,9.437,-0.41
12/31/1973,9.398,-0.41
12/31/1974,9.288,-1.17
12/31/1975,9.178,-1.18
12/31/1976,9.069,-1.19
12/31/1977,8.959,-1.21
12/31/1978,8.849,-1.23
12/31/1979,8.845,-0.05
12/31/1980,8.841,-0.05
12/31/1981,8.837,-0.05
12/31/1982,8.833,-0.05
12/31/1983,8.829,-0.05
12/31/1984,8.854,0.28
12/31/1985,8.878,0.27
12/31/1986,8.903,0.28
12/31/1987,8.927,0.27
12/31/1988,8.952,0.28
12/31/1989,8.925,-0.3
12/31/1990,8.898,-0.3
12/31/1991,8.871,-0.3
12/31/1992,8.844,-0.3
12/31/1993,8.817,-0.31
12/31/1994,8.785,-0.36
12/31/1995,8.754,-0.35
12/31/1996,8.722,-0.37
12/31/1997,8.691,-0.36
12/31/1998,8.659,-0.37
12/31/1999,8.631,-0.32
12/31/2000,8.603,-0.32
12/31/2001,8.576,-0.31
12/31/2002,8.548,-0.33
12/31/2003,8.52,-0.33
12/31/2004,8.441,-0.93
12/31/2005,8.362,-0.94
12/31/2006,8.282,-0.96
12/31/2007,8.203,-0.95
12/31/2008,8.124,-0.96
12/31/2009,8.131,0.09
12/31/2010,8.138,0.09
12/31/2011,8.145,0.09
12/31/2012,8.152,0.09
12/31/2013,8.159,0.09
12/31/2014,8.264,1.29
12/31/2015,8.369,1.27
12/31/2016,8.475,1.27
12/31/2017,8.58,1.24
12/31/2018,8.685,1.22
12/31/2019,8.782,1.12
12/31/2020,8.88,1.12
12/31/2021,8.977,1.09
12/31/2022,9.075,1.09
12/31/2023,9.172,1.07
12/31/2024,9.226,0.59
12/31/2025,9.28,0.59
12/31/2026,9.333,0.57
12/31/2027,9.387,0.58
12/31/2028,9.441,0.58
12/31/2029,9.456,0.16
12/31/2030,9.472,0.17
12/31/2031,9.487,0.16
12/31/2032,9.503,0.17
12/31/2033,9.518,0.16
12/31/2034,9.607,0.94
12/31/2035,9.696,0.93
12/31/2036,9.784,0.91
12/31/2037,9.873,0.91
12/31/2038,9.962,0.9
12/31/2039,10.039,0.77
12/31/2040,10.115,0.76
12/31/2041,10.192,0.76
12/31/2042,10.268,0.75
12/31/2043,10.345,0.75
12/31/2044,10.388,0.42
12/31/2045,10.431,0.41
12/31/2046,10.473,0.4
12/31/2047,10.516,0.41
12/31/2048,10.559,0.41
12/31/2049,10.565,0.06
12/31/2050,10.572,0.07
12/31/2051,10.578,0.06
12/31/2052,10.585,0.07
12/31/2053,10.591,0.06
12/31/2054,10.568,-0.22
12/31/2055,10.545,-0.22
12/31/2056,10.521,-0.23
12/31/2057,10.498,-0.22
12/31/2058,10.475,-0.22
12/31/2059,10.443,-0.31
12/31/2060,10.411,-0.31
12/31/2061,10.379,-0.31
12/31/2062,10.347,-0.31
12/31/2063,10.315,-0.31
12/31/2064,10.3,-0.15
12/31/2065,10.285,-0.15
12/31/2066,10.269,-0.16
12/31/2067,10.254,-0.15
12/31/2068,10.239,-0.15
12/31/2069,10.256,0.17
12/31/2070,10.273,0.17
12/31/2071,10.291,0.18
12/31/2072,10.308,0.17
12/31/2073,10.325,0.16
12/31/2074,10.364,0.38
12/31/2075,10.402,0.37
12/31/2076,10.441,0.37
12/31/2077,10.479,0.36
12/31/2078,10.518,0.37
12/31/2079,10.555,0.35
12/31/2080,10.592,0.35
12/31/2081,10.628,0.34
12/31/2082,10.665,0.35
12/31/2083,10.702,0.35
12/31/2084,10.719,0.16
12/31/2085,10.735,0.15
12/31/2086,10.752,0.16
12/31/2087,10.768,0.15
12/31/2088,10.785,0.16
12/31/2089,10.773,-0.11
12/31/2090,10.761,-0.11
12/31/2091,10.749,-0.11
12/31/2092,10.737,-0.11
12/31/2093,10.725,-0.11
12/31/2094,10.699,-0.24
12/31/2095,10.673,-0.24
12/31/2096,10.646,-0.25
12/31/2097,10.62,-0.24
12/31/2098,10.594,-0.24
12/31/2099,10.568,-0.25
12/31/2100,10.542,-0.25
